Wall = 25 cm => cardboard, angle 20 degress 

X : 257.82 mm, Y: 137.09 mm , angle : 28, dist : 26.2 cm 
X : 258.01 mm, Y: 143.02 mm , angle : 29, dist : 26.5 cm 
X : 257.21 mm, Y: 148.5 mm , angle : 30, dist : 26.7 cm 
X : 256.29 mm, Y: 154.0 mm , angle : 31, dist : 26.9 cm 
X : 256.11 mm, Y: 160.04 mm , angle : 32, dist : 27.2 cm 
X : 255.79 mm, Y: 166.11 mm , angle : 33, dist : 27.5 cm 
X : 256.17 mm, Y: 172.79 mm , angle : 34, dist : 27.9 cm 
X : 255.58 mm, Y: 178.96 mm , angle : 35, dist : 28.2 cm 
X : 256.46 mm, Y: 186.33 mm , angle : 36, dist : 28.7 cm 
X : 498.35 mm, Y: 375.53 mm , angle : 37, dist : 59.4 cm 
X : 488.57 mm, Y: 381.71 mm , angle : 38, dist : 59.0 cm 
X : 488.05 mm, Y: 395.21 mm , angle : 39, dist : 59.8 cm 
X : 488.74 mm, Y: 410.1 mm , angle : 40, dist : 60.8 cm 
X : 537.0 mm, Y: -450.59 mm , angle : 320, dist : 67.1 cm 
X : 537.01 mm, Y: -434.86 mm , angle : 321, dist : 66.1 cm 
X : 537.42 mm, Y: -419.88 mm , angle : 322, dist : 65.2 cm 
X : 537.48 mm, Y: -405.02 mm , angle : 323, dist : 64.3 cm 
X : 537.19 mm, Y: -390.29 mm , angle : 324, dist : 63.400000000000006 cm 
X : 537.36 mm, Y: -376.27 mm , angle : 325, dist : 62.599999999999994 cm 
X : 536.39 mm, Y: -361.8 mm , angle : 326, dist : 61.7 cm 
X : 536.75 mm, Y: -348.57 mm , angle : 327, dist : 61.0 cm 
X : 535.97 mm, Y: -334.91 mm , angle : 328, dist : 60.2 cm 
X : 536.59 mm, Y: -322.41 mm , angle : 329, dist : 59.6 cm 
X : 536.07 mm, Y: -309.5 mm , angle : 330, dist : 58.9 cm 
X : 536.14 mm, Y: -297.19 mm , angle : 331, dist : 58.3 cm 
X : 535.95 mm, Y: -284.97 mm , angle : 332, dist : 57.7 cm 
X : 536.39 mm, Y: -273.3 mm , angle : 333, dist : 57.2 cm 
X : 535.68 mm, Y: -261.27 mm , angle : 334, dist : 56.6 cm 
X : 535.63 mm, Y: -249.77 mm , angle : 335, dist : 56.1 cm 
